id,labels,status,x,y,color
2018-968-15/08/2019,,Side Swipe,138.6254672,-34.9226527,cyan
2018-969-15/08/2019,,Right Angle,137.5272638,-33.026857,yellow
2018-970-15/08/2019,,Head On,138.8960885,-34.9556523,ivory
2018-971-15/08/2019,,Hit Fixed Object,138.6524932,-34.8046875,blue
2018-972-15/08/2019,,Hit Fixed Object,138.6032411,-34.8934726,blue
2018-973-15/08/2019,,Rear End,138.4800146,-35.146376,black
2018-974-15/08/2019,,Hit Parked Vehicle,138.8113433,-35.0313492,green
2018-975-15/08/2019,,Rear End,138.8826536,-34.5945764,black
2018-976-15/08/2019,,Right Turn,138.5384871,-34.9858867,gray
2018-977-15/08/2019,,Right Angle,140.7503104,-36.933536,yellow
2018-978-15/08/2019,,Side Swipe,138.5229551,-35.0168659,cyan
2018-979-15/08/2019,,Rear End,138.5500377,-34.8777127,black
2018-980-15/08/2019,,Rear End,138.4948383,-34.5822197,black
2018-981-15/08/2019,,Rear End,138.5661716,-34.9015897,black
2018-982-15/08/2019,,Rear End,138.5458582,-34.8524827,black
2018-983-15/08/2019,,Rear End,138.6144085,-34.9251447,black
2018-984-15/08/2019,,Rear End,138.6066694,-34.801406,black
2018-985-15/08/2019,,Hit Fixed Object,138.6761394,-34.7433387,blue
2018-986-15/08/2019,,Hit Fixed Object,138.5825259,-34.8782261,blue
2018-987-15/08/2019,,Side Swipe,138.5209819,-34.990935,cyan
2018-988-15/08/2019,,Right Angle,140.4601569,-34.2555269,yellow
2018-989-15/08/2019,,Rear End,138.5710063,-34.871166,black
2018-990-15/08/2019,,Side Swipe,138.5177273,-34.9440247,cyan
2018-991-15/08/2019,,Hit Parked Vehicle,138.6780345,-34.6850404,green
2018-992-15/08/2019,,Rear End,138.4726138,-35.2985428,black
2018-993-15/08/2019,,Rear End,138.5057025,-34.9482682,black
2018-994-15/08/2019,,Hit Pedestrian,138.6005901,-34.9411539,azure
2018-995-15/08/2019,,Rear End,138.6739572,-34.8848158,black
2018-996-15/08/2019,,Hit Parked Vehicle,138.6047806,-35.0533275,green
2018-997-15/08/2019,,Side Swipe,138.6471084,-34.9471677,cyan
2018-998-15/08/2019,,Hit Parked Vehicle,138.5546255,-34.9890861,green
2018-999-15/08/2019,,Rear End,138.6766795,-34.8680912,black
2018-1000-15/08/2019,,Rear End,138.5964904,-34.7949811,black
2018-1001-15/08/2019,,Hit Parked Vehicle,138.6080524,-34.8933149,green
2018-1002-15/08/2019,,Hit Pedestrian,138.6580332,-34.8558619,azure
