id,labels,status,x,y,color
2018-1268-15/08/2019,,Rear End,138.5724114,-34.905235,black
2018-1269-15/08/2019,,Hit Fixed Object,138.5564177,-35.0324964,blue
2018-1270-15/08/2019,,Rear End,138.5177594,-34.9444252,black
2018-1271-15/08/2019,,Right Angle,135.8603066,-34.7297072,yellow
2018-1272-15/08/2019,,Hit Fixed Object,138.4840406,-34.8508747,blue
2018-1273-15/08/2019,,Hit Parked Vehicle,138.594837,-34.9218419,green
2018-1274-15/08/2019,,Hit Fixed Object,139.5643303,-34.7544547,blue
2018-1275-15/08/2019,,Rear End,138.594938,-34.9331896,black
2018-1276-15/08/2019,,Right Angle,138.5520543,-34.9039718,yellow
2018-1277-15/08/2019,,Hit Fixed Object,138.5565077,-34.8555603,blue
2018-1278-15/08/2019,,Roll Over,138.1645937,-34.1948622,pink
2018-1279-15/08/2019,,Right Angle,138.6403346,-34.7635521,yellow
