id,pole_nr,color,area,row,status,x,y,labels
74,2,darkslategray4,T1,T1-05,05-Precom,5.615003632,35.52672243,
75,3,darkslategray4,T1,T1-05,05-Precom,5.615001332,35.52679813,
76,4,darkslategray4,T1,T1-05,05-Precom,5.614999132,35.52687113,
77,5,darkslategray4,T1,T1-05,05-Precom,5.614997232,35.52693463,
78,6,darkslategray4,T1,T1-05,05-Precom,5.614995032,35.52700763,
79,7,darkslategray4,T1,T1-05,05-Precom,5.614992732,35.52708323,
80,8,darkslategray4,T1,T1-05,05-Precom,5.614990532,35.52715623,
81,9,darkslategray4,T1,T1-05,05-Precom,5.614988632,35.52721973,
82,10,darkslategray4,T1,T1-05,05-Precom,5.614986432,35.52729263,
83,11,darkslategray4,T1,T1-05,05-Precom,5.614984132,35.52736833,
84,12,darkslategray4,T1,T1-05,05-Precom,5.614981932,35.52744133,
85,13,darkslategray4,T1,T1-05,05-Precom,5.614979932,35.52750483,
86,14,darkslategray4,T1,T1-05,05-Precom,5.614977732,35.52757783,
87,15,darkslategray4,T1,T1-05,05-Precom,5.614975532,35.52765353,
88,16,darkslategray4,T1,T1-05,05-Precom,5.614973232,35.52772643,
89,17,darkslategray4,T1,T1-05,05-Precom,5.614971332,35.52779003,
90,18,darkslategray4,T1,T1-05,05-Precom,5.614969132,35.52786303,
91,21,darkslategray4,T1,T1-06,05-Precom,5.614962732,35.52807533,
92,22,darkslategray4,T1,T1-06,05-Precom,5.614960532,35.52814833,
93,23,darkslategray4,T1,T1-06,05-Precom,5.614958232,35.52822403,
94,24,darkslategray4,T1,T1-06,05-Precom,5.614956032,35.52829693,
95,25,darkslategray4,T1,T1-06,05-Precom,5.614954132,35.52835993,
96,26,darkslategray4,T1,T1-06,05-Precom,5.614951932,35.52843293,
97,27,darkslategray4,T1,T1-06,05-Precom,5.614949632,35.52850863,
98,28,darkslategray4,T1,T1-06,05-Precom,5.614947432,35.52858153,
99,29,darkslategray4,T1,T1-06,05-Precom,5.614945532,35.52864493,
100,30,darkslategray4,T1,T1-06,05-Precom,5.614943332,35.52871793,
101,31,darkslategray4,T1,T1-06,05-Precom,5.614941032,35.52879363,
102,32,darkslategray4,T1,T1-06,05-Precom,5.614938832,35.52886663,
103,33,darkslategray4,T1,T1-06,05-Precom,5.614936932,35.52893023,
104,34,darkslategray4,T1,T1-06,05-Precom,5.614934732,35.52900323,
105,35,darkslategray4,T1,T1-06,05-Precom,5.614932432,35.52907883,
106,36,darkslategray4,T1,T1-06,05-Precom,5.614930232,35.52915183,
107,37,darkslategray4,T1,T1-06,05-Precom,5.614928332,35.52921533,
108,38,darkslategray4,T1,T1-06,05-Precom,5.614926132,35.52928833,
109,1,darkslategray4,T1,T1-07,05-Precom,5.615167432,35.52665283,
110,2,darkslategray4,T1,T1-07,05-Precom,5.615165232,35.52672583,
111,3,darkslategray4,T1,T1-07,05-Precom,5.615162932,35.52680153,
112,4,darkslategray4,T1,T1-07,05-Precom,5.615160732,35.52687443,
113,5,darkslategray4,T1,T1-07,05-Precom,5.615158832,35.52693793,
114,6,darkslategray4,T1,T1-07,05-Precom,5.615156632,35.52701093,
115,7,darkslategray4,T1,T1-07,05-Precom,5.615154332,35.52708663,
116,8,darkslategray4,T1,T1-07,05-Precom,5.615152132,35.52715953,
117,9,darkslategray4,T1,T1-07,05-Precom,5.615150132,35.52722303,
118,10,darkslategray4,T1,T1-07,05-Precom,5.615147932,35.52729603,
119,11,darkslategray4,T1,T1-07,05-Precom,5.615145732,35.52737163,
120,12,darkslategray4,T1,T1-07,05-Precom,5.615143532,35.52744463,
121,13,darkslategray4,T1,T1-07,05-Precom,5.615141532,35.52750813,
122,14,darkslategray4,T1,T1-07,05-Precom,5.615139332,35.52758113,
123,15,darkslategray4,T1,T1-07,05-Precom,5.615137032,35.52765683,
124,16,darkslategray4,T1,T1-07,05-Precom,5.615134832,35.52772983,
125,17,darkslategray4,T1,T1-07,05-Precom,5.615132932,35.52779333,
126,18,darkslategray4,T1,T1-07,05-Precom,5.615130732,35.52786633,
127,21,darkslategray4,T1,T1-08,05-Precom,5.615124332,35.52807853,
128,22,darkslategray4,T1,T1-08,05-Precom,5.615122132,35.52815153,
129,23,darkslategray4,T1,T1-08,05-Precom,5.615119832,35.52822723,
130,24,darkslategray4,T1,T1-08,05-Precom,5.615117632,35.52830023,
131,25,darkslategray4,T1,T1-08,05-Precom,5.615115732,35.52836323,
132,26,darkslategray4,T1,T1-08,05-Precom,5.615113532,35.52843623,
133,27,darkslategray4,T1,T1-08,05-Precom,5.615111232,35.52851193,
134,28,darkslategray4,T1,T1-08,05-Precom,5.615109032,35.52858483,
135,29,darkslategray4,T1,T1-08,05-Precom,5.615107132,35.52864843,
136,30,darkslategray4,T1,T1-08,05-Precom,5.615104932,35.52872133,
137,31,darkslategray4,T1,T1-08,05-Precom,5.615102632,35.52879703,
138,32,darkslategray4,T1,T1-08,05-Precom,5.615100432,35.52887003,
139,33,darkslategray4,T1,T1-08,05-Precom,5.615098532,35.52893353,
140,34,darkslategray4,T1,T1-08,05-Precom,5.615096332,35.52900653,
141,35,darkslategray4,T1,T1-08,05-Precom,5.615094032,35.52908223,
142,36,darkslategray4,T1,T1-08,05-Precom,5.615091832,35.52915513,
143,37,darkslategray4,T1,T1-08,05-Precom,5.615089832,35.52921873,
144,38,darkslategray4,T1,T1-08,05-Precom,5.615087632,35.52929163,
145,1,darkslategray4,T1,T1-09,05-Precom,5.615329032,35.52665623,
146,2,darkslategray4,T1,T1-09,05-Precom,5.615326832,35.52672913,
147,3,darkslategray4,T1,T1-09,05-Precom,5.615324532,35.52680483,
148,4,darkslategray4,T1,T1-09,05-Precom,5.615322332,35.52687783,
149,5,darkslategray4,T1,T1-09,05-Precom,5.615320432,35.52694123,
150,6,darkslategray4,T1,T1-09,05-Precom,5.615318132,35.52701423,
151,7,darkslategray4,T1,T1-09,05-Precom,5.615315932,35.52708993,
152,8,darkslategray4,T1,T1-09,05-Precom,5.615313732,35.52716293,
153,9,darkslategray4,T1,T1-09,05-Precom,5.615311732,35.52722633,
154,10,darkslategray4,T1,T1-09,05-Precom,5.615309532,35.52729933,
155,11,darkslategray4,T1,T1-09,05-Precom,5.615307232,35.52737503,
156,12,darkslategray4,T1,T1-09,05-Precom,5.615305032,35.52744793,
157,13,darkslategray4,T1,T1-09,05-Precom,5.615303132,35.52751143,
158,14,darkslategray4,T1,T1-09,05-Precom,5.615300932,35.52758443,
159,15,darkslategray4,T1,T1-09,05-Precom,5.615298632,35.52766013,
160,16,darkslategray4,T1,T1-09,05-Precom,5.615296432,35.52773313,
161,17,darkslategray4,T1,T1-09,05-Precom,5.615294532,35.52779663,
162,18,darkslategray4,T1,T1-09,05-Precom,5.615292332,35.52786963,
163,21,darkslategray4,T1,T1-10,05-Precom,5.615285932,35.52808183,
164,22,darkslategray4,T1,T1-10,05-Precom,5.615283732,35.52815483,
165,23,darkslategray4,T1,T1-10,05-Precom,5.615281432,35.52823043,
166,24,darkslategray4,T1,T1-10,05-Precom,5.615279232,35.52830343,
167,25,darkslategray4,T1,T1-10,05-Precom,5.615277332,35.52836663,
168,26,darkslategray4,T1,T1-10,05-Precom,5.615275132,35.52843963,
169,27,darkslategray4,T1,T1-10,05-Precom,5.615272832,35.52851523,
170,28,darkslategray4,T1,T1-10,05-Precom,5.615270632,35.52858823,
171,29,darkslategray4,T1,T1-10,05-Precom,5.615268732,35.52865173,
172,30,darkslategray4,T1,T1-10,05-Precom,5.615266532,35.52872473,
173,31,darkslategray4,T1,T1-10,05-Precom,5.615264232,35.52880043,
174,32,darkslategray4,T1,T1-10,05-Precom,5.615262032,35.52887343,
175,33,darkslategray4,T1,T1-10,05-Precom,5.615260032,35.52893693,
176,34,darkslategray4,T1,T1-10,05-Precom,5.615257832,35.52900983,
177,35,darkslategray4,T1,T1-10,05-Precom,5.615255632,35.52908553,
