color,status,labels,geometry
green,01-Piling,,"LINESTRING (5.620661432 35.52676603,5.620624732 35.52797943)"
green,01-Piling,,"LINESTRING (5.620618332 35.52819153,5.620581532 35.52940483)"
green,01-Piling,,"LINESTRING (5.620823032 35.52676933,5.620786332 35.52798273)"
green,01-Piling,,"LINESTRING (5.620779932 35.52819483,5.620743132 35.52940813)"
green,01-Piling,,"LINESTRING (5.620984632 35.52677273,5.620947932 35.52798603)"
green,01-Piling,,"LINESTRING (5.620941432 35.52819823,5.620904732 35.52941153)"
green,01-Piling,,"LINESTRING (5.621146232 35.52677603,5.621109432 35.52798943)"
green,01-Piling,,"LINESTRING (5.621103032 35.52820153,5.621066332 35.52941483)"
green,01-Piling,,"LINESTRING (5.621307832 35.52677933,5.621271032 35.52799273)"
green,01-Piling,,"LINESTRING (5.621264632 35.52820483,5.621227932 35.52941813)"
green,01-Piling,,"LINESTRING (5.621469432 35.52678273,5.621432632 35.52799603)"
green,01-Piling,,"LINESTRING (5.621426232 35.52820813,5.621389432 35.52942153)"
green,01-Piling,,"LINESTRING (5.621749432 35.52821483,5.621712632 35.52942813)"
green,01-Piling,,"LINESTRING (5.621954232 35.52679263,5.621917432 35.52800603)"
green,01-Piling,,"LINESTRING (5.621911032 35.52821823,5.621874232 35.52943153)"
green,01-Piling,,"LINESTRING (5.622115732 35.52679603,5.622079032 35.52800943)"
green,01-Piling,,"LINESTRING (5.622072532 35.52822153,5.622035832 35.52943483)"
green,01-Piling,,"LINESTRING (5.622277332 35.52679933,5.622240632 35.52801273)"
green,01-Piling,,"LINESTRING (5.622234132 35.52822483,5.622197432 35.52943813)"
green,01-Piling,,"LINESTRING (5.622438932 35.52680263,5.622402132 35.52801603)"
green,01-Piling,,"LINESTRING (5.622395732 35.52822813,5.622358932 35.52944153)"
green,01-Piling,,"LINESTRING (5.622600532 35.52680603,5.622563732 35.52801933)"
green,01-Piling,,"LINESTRING (5.622557332 35.52823153,5.622520532 35.52944483)"
green,01-Piling,,"LINESTRING (5.622762132 35.52680933,5.622725332 35.52802273)"
green,01-Piling,,"LINESTRING (5.622718932 35.52823483,5.622682132 35.52944813)"
green,01-Piling,,"LINESTRING (5.622923732 35.52681273,5.622886932 35.52802603)"
green,01-Piling,,"LINESTRING (5.622880532 35.52823823,5.622843732 35.52945143)"
green,01-Piling,T4,POINT (5.622865132 35.52874483)
green,01-Piling,,"LINESTRING (5.623085332 35.52681603,5.623048532 35.52802933)"
green,01-Piling,,"LINESTRING (5.623042132 35.52824153,5.623005332 35.52945483)"
green,01-Piling,,"LINESTRING (5.623246932 35.52681933,5.623210132 35.52803273)"
green,01-Piling,,"LINESTRING (5.623203632 35.52824483,5.623166932 35.52945813)"
green,01-Piling,,"LINESTRING (5.623408532 35.52682273,5.623371732 35.52803603)"
green,01-Piling,,"LINESTRING (5.623365232 35.52824813,5.623328432 35.52946153)"
green,01-Piling,,"LINESTRING (5.623570032 35.52682603,5.623533332 35.52803943)"
green,01-Piling,,"LINESTRING (5.623526832 35.52825153,5.623490032 35.52946483)"
green,01-Piling,,"LINESTRING (5.623731632 35.52682943,5.623694832 35.52804273)"
green,01-Piling,,"LINESTRING (5.623688432 35.52825483,5.623651632 35.52946813)"
